"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Báo cáo Chiến lược","page_title","title","Báo cáo Chiến lược Thành phố","","None","Header/Left","false","","text-2xl, font-black, uppercase",""
"Báo cáo Chiến lược","page_description","label","Các báo cáo định kỳ về tình hình xúc tiến đầu tư...","","None","Header/Left","false","","text-sm, font-medium, text-slate-500",""
"Báo cáo Chiến lược","btn_edit_template","button","CHỈNH SỬA MẪU","","Toggle template editor visibility","Header/Right","false","","border-slate-200, bg-white, text-[10px]",""
"Báo cáo Chiến lược","btn_export_summary","button","XUẤT BÁO CÁO TỔNG HỢP","","Initiate composite report generation","Header/Right","false","","bg-primary, text-white, text-[10px]",""
"Báo cáo Chiến lược","select_report_definition","select","[Definition List]","","Select report template for runner","Filter Area","false","","border-slate-200, text-xs",""
"Báo cáo Chiến lược","stat_successful_runs","label","Run thành công: [N]","","None","Stats Area","false","","text-[10px], font-black, text-slate-500",""
"Báo cáo Chiến lược","template_editor_panel","container","Mẫu đang dùng: [Name]","","None","Above Stats","false","","bg-white, border-slate-200","Displays JSON query configuration. Conditional visibility."
"Báo cáo Chiến lược","stat_new_projects","card","[N]","","None","KPI Grid","false","","bg-blue-50, text-blue-600","label: Số dự án mới. Includes Globe icon."
"Báo cáo Chiến lược","stat_fdi_total","card","[Value]","","None","KPI Grid","false","","bg-emerald-50, text-emerald-600","label: Tổng vốn FDI. Includes TrendingUp icon."
"Báo cáo Chiến lược","stat_domestic_capital","card","[Value]","","None","KPI Grid","false","","bg-purple-50, text-purple-600","label: Vốn đăng ký nội. Includes Target icon."
"Báo cáo Chiến lược","stat_pci_index","card","[N]/5","","None","KPI Grid","false","","bg-amber-50, text-amber-600","label: Tỉ lệ hài lòng (PCI). Includes ShieldCheck icon."
"Báo cáo Chiến lược","panel_strategic_signals","container","Tín hiệu báo cáo quan trọng","","None","Main/Left Column","false","","bg-white, border-slate-200","Includes strategic notes on success rate, available templates, and latest run."
"Báo cáo Chiến lược","panel_zero_explanation","container","Giải thích số 0","","None","Main/Right Column","false","","bg-slate-50, border-slate-200","Contextual help explaining data gaps versus zero values."
"Báo cáo Chiến lược","section_reports_list_title","title","Tập tin báo cáo chiến lược","","None","Main/Left Column","false","","text-lg, font-black","Includes BarChart3 icon (primary)."
"Báo cáo Chiến lược","btn_create_run_shortcut","button","Tạo run báo cáo","","Trigger report generation","List Header","false","","text-[10px], font-black, text-primary",""
"Báo cáo Chiến lược","report_run_item","container","[Report Name]","","None","Reports List","false","","border-slate-100, hover:border-primary/20","Contains report code, status, timestamp, and size."
"Báo cáo Chiến lược","btn_download_file","button","","","Download the generated report file","Run Item","false","","text-slate-300, hover:text-primary","Download icon."
"Báo cáo Chiến lược","panel_forecast","container","[Forecast Headline]","","None","Main/Right Column","false","","bg-slate-950, text-white","Includes dynamic forecast analysis and 'XEM CHI TIẾT DỰ BÁO' toggle."
