"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Nhiệm vụ hệ thống","page_title","title","Nhiệm vụ hệ thống","","None","Header/Left","false","","text-2xl, font-black, tracking-tight",""
"Nhiệm vụ hệ thống","page_description","label","Quản lý và theo dõi tiến độ công việc tập trung.","","None","Header/Left","false","","text-sm, font-semibold, text-slate-500",""
"Nhiệm vụ hệ thống","btn_view_board","button","Bảng Kanban","","Switch to board view","Header/Right","false","","text-[10px], font-black","Active: bg-white, text-primary"
"Nhiệm vụ hệ thống","btn_view_list","button","Danh sách","","Switch to list view","Header/Right","false","","text-[10px], font-black","Active: bg-white, text-primary"
"Nhiệm vụ hệ thống","btn_add_task_top","button","Thêm việc mới","","Open quick create task modal","Header/Right","false","","bg-primary, text-white, text-[11px]","Includes Plus icon"
"Nhiệm vụ hệ thống","stat_total_tasks","badge","[Total]","","None","Stats Bar","false","","text-slate-900, bg-white","label: TỔNG NHIỆM VỤ"
"Nhiệm vụ hệ thống","stat_urgent_tasks","badge","[Overdue Count]","","None","Stats Bar","false","","text-rose-600, bg-rose-50","label: KHẨN CẤP / QUÁ HẠN"
"Nhiệm vụ hệ thống","stat_inprogress_tasks","badge","[In-progress Count]","","None","Stats Bar","false","","text-amber-600, bg-amber-50","label: ĐANG XỬ LÝ"
"Nhiệm vụ hệ thống","stat_done_tasks","badge","[Done Count]","","None","Stats Bar","false","","text-emerald-600, bg-emerald-50","label: HOÀN THÀNH"
"Nhiệm vụ hệ thống","board_column_todo","container","Cần xử lý","","None","Kanban Board","false","","bg-slate-100/40",""
"Nhiệm vụ hệ thống","board_column_inprogress","container","Đang thực hiện","","None","Kanban Board","false","","bg-amber-100/20",""
"Nhiệm vụ hệ thống","board_column_done","container","Đã hoàn thành","","None","Kanban Board","false","","bg-emerald-100/20",""
"Nhiệm vụ hệ thống","btn_add_task_column","button","+ Click để thêm việc mới","","Open quick create task modal","Kanban Column Footer","false","","border-dashed, text-slate-400",""
"Nhiệm vụ hệ thống","task_card","card","[Task Title]","","Toggle task status","Kanban Column Item","false","","bg-white, p-4, border-slate-200","Includes priority badge, options dropdown, comments/attachments/due date"
"Nhiệm vụ hệ thống","btn_task_options","button","","","Open task options menu","Task Card","false","","text-slate-300","MoreVertical icon. Shows on hover."
"Nhiệm vụ hệ thống","dropdown_item_change_status","menu_item","Đổi trạng thái","","Toggle task status","Task Options Menu","false","","",""
"Nhiệm vụ hệ thống","dropdown_item_delete_task","menu_item","Xóa nhiệm vụ","","Delete task record","Task Options Menu","false","","text-rose-600",""
"Nhiệm vụ hệ thống","list_item_row","card","[Task Title]","","None","List View Area","false","","py-3.5, hover:bg-slate-50/50",""
"Nhiệm vụ hệ thống","btn_toggle_status_checkbox","button","","","Toggle task status","List Item/Left","false","","h-5, w-5, border-slate-300","Checkbox-style button. Emerald when Done."
"Nhiệm vụ hệ thống","btn_view_task_detail","button","Chi tiết","","Navigate/Open details","List Item/Right","false","","border-slate-200, bg-white, text-[10px]",""
"Quản lý Nhiệm vụ","modal_create_title","title","Thêm nhiệm vụ mới","","None","Dialog/Header","false","","text-sm, font-black",""
"Quản lý Nhiệm vụ","input_task_title","input","","Tiêu đề đầu việc cần xử lý...","Enter task title","Dialog/Body","true","Required","bg-slate-50, py-3, text-sm",""
"Quản lý Nhiệm vụ","select_task_priority","select","THẤP / TRUNG BÌNH / CAO / KHẨN CẤP","","Set task priority","Dialog/Body","false","","bg-slate-50, py-3","Choices map to 0,1,2,3"
"Quản lý Nhiệm vụ","input_task_due_at","input","","Select date","Set deadline","Dialog/Body","false","","type: date, bg-slate-50, py-3",""
"Quản lý Nhiệm vụ","btn_confirm_save","button","Xác nhận lưu","","Submit new task","Dialog/Footer","false","","bg-primary, text-white, uppercase","Includes Save icon"
