"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Quản lý Đoàn","breadcrumb","nav","Hệ thống > Quản lý Đoàn","","Navigate to director/dashboard","Header/Left","false","","text-xs, text-slate-500",""
"Quản lý Đoàn","page_title","title","Quản lý Đoàn Công tác","","None","Header/Left","false","","text-2xl, font-black",""
"Quản lý Đoàn","btn_export","button","Xuất dữ liệu","","Download CSV export of delegations","Header/Right","false","","border-slate-200, bg-white, text-[11px]","Includes Download icon."
"Quản lý Đoàn","btn_create_delegation","button","Tạo đoàn mới","","Navigate to delegations/create","Header/Right","false","","bg-primary, text-white, text-[11px]","Includes Plus icon."
"Quản lý Đoàn","tab_inbound","button","Đoàn đến (Inbound)","","Switch to inbound direction","Tab Bar","false","","text-sm, font-bold","Active indicator with primary color."
"Quản lý Đoàn","tab_outbound","button","Đoàn đi (Outbound)","","Switch to outbound direction","Tab Bar","false","","text-sm, font-bold",""
"Quản lý Đoàn","btn_view_kanban","button","Kanban","","Switch to Kanban view mode","View Toggle","false","","text-[10px], font-black","Includes LayoutGrid icon."
"Quản lý Đoàn","btn_view_list","button","Danh sách","","Switch to List view mode","View Toggle","false","","text-[10px], font-black","Includes List icon."
"Quản lý Đoàn","input_search","input","","Tìm kiếm đoàn công tác theo tên, mã...","Filter list by keyword","Filter Area","false","","text-xs, pl-11","Includes Search icon."
"Quản lý Đoàn","btn_filter_toggle","button","Bộ lọc","","Toggle advanced filters panel","Filter Area","false","","text-[11px], font-black","Includes Filter icon and badge for active counts."
"Quản lý Đoàn","btn_reset_filters","button","Làm mới","","Reset all filters to default","Filter Area","false","","text-rose-600, text-[11px]","Only visible when filters are active."
"Quản lý Đoàn","select_status","select","[Status List]","","Filter by status (Draft, Pending, etc.)","Advanced Filters","false","","bg-white, text-xs",""
"Quản lý Đoàn","select_priority","select","[Priority List]","","Filter by priority (Low, Medium, High)","Advanced Filters","false","","bg-white, text-xs",""
"Quản lý Đoàn","select_country","select","[Country List]","","Filter by country from master data","Advanced Filters","false","","bg-white, text-xs",""
"Quản lý Đoàn","select_staff","select","[Staff List]","","Filter by owner/staff from admin users","Advanced Filters","false","","bg-white, text-xs",""
"Quản lý Đoàn","kanban_board","container","[Kanban Columns]","","Drag and drop to update status","Main Content","false","","Flex layout","Columns: Draft, Pending, Approved, Progress, Completed, Cancelled."
"Quản lý Đoàn","list_view","table","[Delegation Data]","","None","Main Content","false","","Table layout","Columns: Code, Name, Country, Partner, Date, Status, Staff, Actions."
"Quản lý Đoàn","btn_edit","button","","","Navigate to delegations/:id/edit","Row/Card Action","false","","text-slate-400, hover:text-primary","Includes Edit icon."
"Quản lý Đoàn","btn_delete","button","","","Open delete confirmation modal","Row/Card Action","false","","text-slate-400, hover:text-rose-600","Includes Trash2 icon."
