"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Thư viện Tài liệu","page_title","title","THƯ VIỆN TÀI LIỆU","","None","Header/Left","false","","text-2xl, font-black, uppercase",""
"Thư viện Tài liệu","btn_create_folder","button","Tạo thư mục","","Trigger createFolderMutation","Header/Right","false","","border-slate-200, bg-white, text-[11px]","Includes FolderPlus icon."
"Thư viện Tài liệu","btn_upload_file","button","Tải tài liệu lên","","Trigger uploadMutation","Header/Right","false","","bg-primary, text-white, text-[11px]","Includes Upload icon."
"Thư viện Tài liệu","folder_card","container","[Folder Name]","","Trigger handleOpenFolder","Folders Grid","false","","bg-white, border-slate-200","Displays document count and hover effect."
"Thư viện Tài liệu","active_folder_badge","label","Đang xem thư mục: [Name]","","None","Breadcrumb Area","false","","bg-primary/5, text-primary, text-[10px]","Only visible when in subfolder."
"Thư viện Tài liệu","input_search_docs","input","","Tìm tài liệu...","Filter list by name or owner","Filter Bar","false","","bg-slate-50, text-[11px]","Includes Search icon."
"Thư viện Tài liệu","btn_view_grid","button","","","Set viewMode to grid","Filter Bar","false","","text-primary, shadow-sm","Includes Grid icon."
"Thư viện Tài liệu","btn_view_list","button","","","Set viewMode to list","Filter Bar","false","","text-slate-400","Includes List icon."
"Thư viện Tài liệu","btn_filter_docs","button","","","Toggle showPdfOnly","Filter Bar","false","","text-slate-400, bg-slate-50","Includes Filter icon."
"Thư viện Tài liệu","grid_doc_card","container","[Document Name]","","None","Documents Grid","false","","bg-slate-50/20, hover:bg-white","Displays file type icon, name, and size."
"Thư viện Tài liệu","table_doc_row","container","[Document Name]","","None","Documents List","false","","bg-white, hover:bg-slate-50","Table layout with updated date and owner."
"Thư viện Tài liệu","btn_doc_options","button","","","Open doc options (Rename, Duplicate, Delete)","Doc Item","false","","text-slate-300","Includes MoreVertical icon."
"Thư viện Tài liệu","btn_doc_download","button","","","Trigger handleDownload","Doc Item","false","","text-slate-400, hover:bg-slate-950","Includes Download icon."
"Thư viện Tài liệu","btn_doc_share","button","","","Trigger handleShare","Doc Item","false","","text-slate-400, hover:bg-slate-950","Includes Share2 icon."
"Thư viện Tài liệu","btn_doc_delete","button","","","Trigger handleDelete","Doc Item","false","","text-slate-400, hover:bg-rose-600","Includes Trash2 icon."
"Thư viện Tài liệu","label_storage_usage","label","Dung lượng: [Used] / 100GB","","None","Footer","false","","text-[9px], font-black",""
