"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Chi tiết Đoàn","btn_back","button","","","Navigate back to delegations list","Header/Left","false","","border-slate-200, bg-white","Includes ArrowLeft icon."
"Chi tiết Đoàn","delegation_code","label","[Code]","","None","Header/Left","false","","bg-primary/10, text-primary, text-[10px]","Example: D-2024-001."
"Chi tiết Đoàn","delegation_name","title","[Name]","","None","Header/Left","false","","text-3xl, font-black",""
"Chi tiết Đoàn","btn_edit","button","CHỈNH SỬA HỒ SƠ","","Navigate to /delegations/:id/edit","Header/Right","false","","bg-slate-900, text-white, text-[11px]","Includes Edit icon."
"Chi tiết Đoàn","tab_overview","button","TỔNG QUAN","","Switch to overview tab","Tab Bar","false","","text-[10px], font-black","Includes Info icon."
"Chi tiết Đoàn","tab_members","button","THÀNH VIÊN","","Switch to members tab","Tab Bar","false","","text-[10px], font-black","Includes Users icon."
"Chi tiết Đoàn","tab_schedule","button","LỊCH TRÌNH","","Switch to schedule tab","Tab Bar","false","","text-[10px], font-black","Includes Calendar icon."
"Chi tiết Đoàn","tab_checklist","button","CHECKLIST","","Switch to checklist tab","Tab Bar","false","","text-[10px], font-black","Includes CheckSquare icon."
"Chi tiết Đoàn","tab_followup","button","THEO DÕI","","Switch to followup tab","Tab Bar","false","","text-[10px], font-black","Includes FileText icon."
"Chi tiết Đoàn","section_description","container","Mục tiêu & Nội dung","","None","Main Content/Left","false","","text-sm, leading-relaxed",""
"Chi tiết Đoàn","tag_sector","label","[Sector Name]","","None","Detail Section","false","","bg-slate-100, text-slate-700, text-xs",""
"Chi tiết Đoàn","label_status","label","[Status]","","None","Summary Grid","false","","text-slate-900, font-bold",""
"Chi tiết Đoàn","label_country","label","[Country Flag] [Name]","","None","Summary Grid","false","","border-slate-100, bg-slate-50, text-sm",""
"Chi tiết Đoàn","label_investment","label","[Amount]","","None","Summary Grid","false","","text-emerald-600, font-bold","Formatted as currency (VND)."
"Chi tiết Đoàn","card_contact","container","[Contact Name]","","None","Contact Section","false","","bg-slate-50/50, border-slate-50","Displays role, phone, and email."
"Chi tiết Đoàn","card_member","container","[Member Name]","","None","Members Tab","false","","bg-white, border-slate-200","Displays title, organization, VIP tag if applicable."
"Chi tiết Đoàn","card_event","container","[Event Title]","","None","Schedule Tab","false","","bg-white, border-slate-200","Displays time, location, PIC, and description."
"Chi tiết Đoàn","card_checklist_item","container","[Item Name]","","None","Checklist Tab","false","","bg-slate-50, border-slate-100","Displays status, assignee, priority, and due date."
"Chi tiết Đoàn","card_outcome","container","Đánh giá kết quả","","None","Followup Tab","false","","bg-slate-50, border-slate-100","Displays rating stars, summary, and next steps."
