"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Đối tác & Nhà đầu tư","page_title","title","Đối tác & Nhà đầu tư","","None","Header/Left","false","","text-2xl, font-black, uppercase",""
"Đối tác & Nhà đầu tư","btn_sync_crm","button","Đồng bộ CRM","","Trigger syncPartnersMutation","Header/Right","false","","border-slate-200, bg-white, text-[11px]",""
"Đối tác & Nhà đầu tư","btn_add_partner","button","Thêm đối tác","","Open Create Partner Modal","Header/Right","false","","bg-primary, text-white, text-[11px]","Includes Plus icon."
"Đối tác & Nhà đầu tư","stat_global_partners","card","[N]","","None","Stats Grid","false","","bg-slate-950, text-white","label: Đối tác toàn cầu. Includes Globe icon."
"Đối tác & Nhà đầu tư","stat_key_market","card","Việt Nam","","None","Stats Grid","false","","bg-white, text-slate-900","label: Thị trường trọng điểm."
"Đối tác & Nhà đầu tư","stat_avg_rating","card","4.5","","None","Stats Grid","false","","bg-white, text-slate-900","label: Trung bình đánh giá. Includes Star icons."
"Đối tác & Nhà đầu tư","input_search_partners","input","","Tìm tên đối tác, mã đối tác...","Search with 500ms debounce","Filter Bar","false","","bg-slate-50, text-[11px]","Includes Search icon."
"Đối tác & Nhà đầu tư","select_status_filter","select","Tất cả trạng thái","","Filter partners by status (Lead, Partner, Active)","Filter Bar","false","","bg-slate-50, text-[10px]",""
"Đối tác & Nhà đầu tư","partner_card","container","[Partner Name]","","None","Partners Grid","false","","bg-slate-50/30, hover:bg-white","Contains partner code, category, country, representative, status, score."
"Đối tác & Nhà đầu tư","btn_partner_options","button","","","Open options dropdown (Promote, Edit, Delete)","Partner Card","false","","text-slate-300","Includes MoreVertical icon."
"Đối tác & Nhà đầu tư","btn_send_email","button","","","Trigger contactMutation","Partner Card","false","","text-slate-400","Includes Mail icon."
"Đối tác & Nhà đầu tư","btn_view_detail","button","CHI TIẾT","","Navigate to partners/:id","Partner Card","false","","bg-slate-950, text-white, text-[9px]","Includes ExternalLink icon."
"Đối tác & Nhà đầu tư","modal_create_partner","modal","Thêm đối tác mới","","Submit/Cancel partner creation","Page Layer","false","","DialogContent","Fields: Mã, Tên, Quốc gia, Lĩnh vực, Trạng thái, Website, Ghi chú."
"Đối tác & Nhà đầu tư","modal_edit_partner","modal","Chỉnh sửa đối tác","","Update partner info","Page Layer","false","","DialogContent","Includes Score field."
"Đối tác & Nhà đầu tư","modal_delete_partner","modal","Xác nhận xóa","","Soft-delete the partner","Page Layer","false","","DialogContent, text-red-600",""
"Đối tác & Nhà đầu tư","modal_partner_detail","modal","Chi tiết đối tác","","Close modal","Page Layer","false","","DialogContent (scrollable)","Displays contacts and recent interactions."
