"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Director Dashboard","welcome_title","title","Báo cáo chiến lược, [User Full Name] 👋","","None","Header/Left","false","","text-3xl, font-black, leading-tight",""
"Director Dashboard","date_pill","label","IPA ĐÀ NẴNG • THỨ 6, 10/04/2026","","None","Header/Left","false","","text-sm, font-semibold, text-slate-500",""
"Director Dashboard","input_quick_search","input","","Tìm nhanh đoàn, tài liệu, đối tác...","Search for system objects","Header/Right","false","","pl-11, text-[11px]","Includes Search icon"
"Director Dashboard","btn_quick_report","button","BÁO CÁO NHANH","","Navigate to City Reports (/reports/city)","Header/Right","false","","bg-slate-950, text-white, text-[10px]","Includes Zap icon (amber-400)"
"Director Dashboard","stat_investment_capital","card","[N]","","None","Stats Grid","false","","text-emerald-600, text-3xl","label: Tổng vốn đầu tư. Icons: TrendingUp. Note: Từ city overview."
"Director Dashboard","stat_pipeline_projects","card","[N]","","None","Stats Grid","false","","text-blue-600, text-3xl","label: Dự án Pipeline. Icons: Briefcase. Note: Dự án đang theo dõi."
"Director Dashboard","stat_delegations","card","[N]","","None","Stats Grid","false","","text-purple-600, text-3xl","label: Đoàn công tác. Icons: ClipboardList. Note: Đang mở."
"Director Dashboard","stat_upcoming_events","card","[N]","","None","Stats Grid","false","","text-amber-600, text-3xl","label: Sự kiện tới. Icons: Calendar. Note: Đã xếp lịch."
"Director Dashboard","section_director_control_title","title","Director Control Center","","None","Control Center/Header","false","","text-lg, font-black","Includes Target icon in dark box."
"Director Dashboard","insight_pipeline_share","card","Tỉ trọng pipeline mở","","None","Insight Grid","false","","bg-emerald-50, text-emerald-600","Shows percentage and strategic pressure label."
"Director Dashboard","insight_bottleneck","card","Điểm cần chú ý","","None","Insight Grid","false","","bg-amber-50, text-amber-600","Identifies stage with highest project count."
"Director Dashboard","insight_top_partner","card","Đối tác dẫn đầu","","None","Insight Grid","false","","bg-blue-50, text-blue-600","Identifies partner with most projects."
"Director Dashboard","action_priority_text","label","[Upcoming Event Description]","","None","Priority Actions","false","","text-sm, font-semibold","Summarizes immediate next event."
"Director Dashboard","btn_city_overview","button","Mở tổng quan thành phố","","Navigate to City Overview (/city-overview)","Priority Actions","false","","bg-slate-950, text-white",""
"Director Dashboard","btn_strategic_reports","button","Mở báo cáo chiến lược","","Navigate to City Reports (/reports/city)","Priority Actions","false","","bg-white, border-slate-200",""
"Director Dashboard","btn_pending_approvals","button","Xem phê duyệt chờ xử lý","","Navigate to Approvals (/approvals)","Priority Actions","false","","bg-primary/5, text-primary",""
"Director Dashboard","section_tasks_title","title","Đầu việc trọng tâm & Khẩn cấp","","None","Main/Left Column","false","","text-base, font-black","Includes CheckCircle2 icon (primary)."
"Director Dashboard","btn_view_tasks","button","XEM TẤT CẢ","","Navigate to Tasks page (/tasks)","Main/Left Column","false","","text-[10px], font-black, text-primary",""
"Director Dashboard","task_item_card","container","[Task Title]","","Open task detail (placeholder)","Task Feed","false","","border-slate-100, hover:border-primary/30",""
"Director Dashboard","card_investment_map","card","Bản đồ đầu tư","","Navigate to City Overview","Highlights Area","false","","bg-slate-900, text-white","Includes Building2 icon."
"Director Dashboard","card_growth_indicators","card","Chỉ số tăng trưởng","","Navigate to City Reports","Highlights Area","false","","bg-primary, text-white","Includes PieChart icon."
"Director Dashboard","section_timeline_title","title","SỰ KIỆN TRONG NGÀY","","None","Side Panel","false","","text-xs, font-black","Includes Calendar icon (primary)."
"Director Dashboard","card_notifications_shortcut","card","THÔNG BÁO MỚI","","Navigate to Notifications page (/notifications)","Side Panel","false","","bg-slate-950, text-white","Includes Bell icon (amber-400)."
