"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Đối tác & Nhà đầu tư","page_title","title","Đối tác & Nhà đầu tư","","None","Header/Left","false","","text-2xl, font-black, tracking-tight",""
"Đối tác & Nhà đầu tư","page_description","label","Quản lý quan hệ đối tác và tiềm năng đầu tư hệ thống.","","None","Header/Left","false","","text-sm, font-semibold, text-slate-500",""
"Đối tác & Nhà đầu tư","btn_sync_crm","button","Đồng bộ CRM","","Trigger CRM synchronization","Header/Right","false","","border-slate-200, bg-white, text-slate-600",""
"Đối tác & Nhà đầu tư","btn_add_partner","button","Thêm đối tác","","Open create partner dialog","Header/Right","false","","bg-primary, text-white, text-[11px]","Includes Plus icon"
"Đối tác & Nhà đầu tư","stat_global_partners","badge","[Total]","","None","Stats Bar","false","","bg-slate-950, text-white","label: Đối tác toàn cầu"
"Đối tác & Nhà đầu tư","stat_key_market","badge","Việt Nam","","None","Stats Bar","false","","bg-white, text-slate-900","label: Thị trường trọng điểm"
"Đối tác & Nhà đầu tư","stat_avg_rating","badge","4.5","","None","Stats Bar","false","","bg-white, text-slate-900","label: Trung bình đánh giá. Includes Star icons."
"Đối tác & Nhà đầu tư","input_search_partner","input","","Tìm tên đối tác, mã đối tác...","Filter partners by search keyword","Filter Bar","false","","bg-slate-50, text-[11px], py-2.5","Includes Search icon"
"Đối tác & Nhà đầu tư","select_status_filter","select","Tất cả trạng thái / Lead / Partner / Active","","Filter partners by status","Filter Bar","false","","bg-slate-50, text-[10px], px-3, py-2",""
"Đối tác & Nhà đầu tư","partner_item_card","card","[Partner Name]","","None","Partners Grid","false","","bg-slate-50/30, p-5, border-slate-100","Hover: shadow-xl, border-primary/30"
"Đối tác & Nhà đầu tư","icon_building","icon","","","None","Partner Card/Left","false","","rounded-lg, shadow-sm, bg-white","Building2 icon. Hover: bg-slate-950, text-white."
"Đối tác & Nhà đầu tư","label_partner_meta","label","[Code] • [Category] • [Country]","","None","Partner Card/Header","false","","text-[9px], font-black, uppercase",""
"Đối tác & Nhà đầu tư","btn_partner_options","button","","","Open partner options menu","Partner Card/Top Right","false","","text-slate-300","MoreVertical icon"
"Đối tác & Nhà đầu tư","dropdown_item_promote","menu_item","Tiến cấp trạng thái","","Trigger partner promotion","Partner Options Menu","false","","",""
"Đối tác & Nhà đầu tư","dropdown_item_edit","menu_item","Chỉnh sửa","","Open edit partner dialog","Partner Options Menu","false","","",""
"Đối tác & Nhà đầu tư","dropdown_item_delete","menu_item","Xóa đối tác","","Open delete confirmation dialog","Partner Options Menu","false","","text-red-500",""
"Đối tác & Nhà đầu tư","label_representative","badge","[Name]","","None","Partner Card/Body","false","","text-xs, font-black, text-slate-900","label: Đầu mối"
"Đối tác & Nhà đầu tư","badge_partner_status","badge","[Status]","","None","Partner Card/Body","false","","text-[8px], font-black, uppercase","Logic: emerald for Active, primary for others."
"Đối tác & Nhà đầu tư","label_partner_score","label","[Score] / 5","","None","Partner Card/Footer","false","","text-[10px], font-black","Includes Star icon"
"Đối tác & Nhà đầu tư","btn_send_email","button","","","Trigger email contact","Partner Card/Footer","false","","border-slate-200, bg-white, p-2","Mail icon. Hover: bg-slate-950, text-white."
"Đối tác & Nhà đầu tư","btn_partner_detail","button","CHI TIẾT","","Navigate to partner detail page","Partner Card/Footer","false","","bg-slate-950, text-white, text-[9px]","Includes ExternalLink icon"
"Đối tác & Nhà đầu tư","btn_pagination_prev","button","Trước","","Go to previous page","Footer","false","","border-slate-200, text-[10px]",""
"Đối tác & Nhà đầu tư","btn_pagination_next","button","Sau","","Go to next page","Footer","false","","border-slate-200, text-[10px]",""
"Quản lý Đối tác","modal_title","title","Thêm đối tác mới / Chỉnh sửa đối tác","","None","Dialog/Header","false","","text-lg, font-black",""
"Quản lý Đối tác","input_partner_code","input","","VD: SAMSUNG_VN","Enter partner identifier","Dialog/Body","true","Required","bg-white, border-slate-200",""
"Quản lý Đối tác","input_partner_name","input","","VD: Samsung Vina","Enter partner full name","Dialog/Body","true","Required","bg-white, border-slate-200",""
"Quản lý Đối tác","select_country","select","Chọn quốc gia","","Select country origin","Dialog/Body","true","Required","bg-white, border-slate-200",""
"Quản lý Đối tác","select_sector","select","Chọn lĩnh vực","","Select industry sector","Dialog/Body","true","Required","bg-white, border-slate-200",""
"Quản lý Đối tác","select_status","select","Lead / Partner / Active","","Set initial status","Dialog/Body","false","","bg-white, border-slate-200",""
"Quản lý Đối tác","input_website","input","","https://example.com","Enter corporate website","Dialog/Body","false","","bg-white, border-slate-200",""
"Quản lý Đối tác","input_score","input","","0-5","Enter evaluation score","Dialog/Body (Edit Only)","false","0-5","type: number, step: 0.1",""
"Quản lý Đối tác","textarea_notes","textarea","","Thông tin ghi chú...","Enter additional context","Dialog/Body","false","","min-h-28, bg-white, border-slate-200",""
"Quản lý Đối tác","btn_submit_partner","button","Tạo hồ sơ / Cập nhật","","Submit partner form","Dialog/Footer","false","","bg-primary, text-white, text-xs",""
"Quản lý Đối tác","modal_delete_confirm","dialog","Xác nhận xóa","","None","Dialog/Overlay","false","","text-red-600","Warning message about soft-delete."
"Quản lý Đối tác","btn_delete_confirm","button","Xóa vĩnh viễn","","Confirm soft-delete","Dialog/Footer","false","","bg-red-600, text-white, uppercase",""
