"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Chi tiết đối tác","btn_back","button","","","Navigate back to partners list","Header/Left","false","","border-slate-200, bg-white","Includes ArrowLeft icon."
"Chi tiết đối tác","partner_code","label","[Code]","","None","Header/Left","false","","bg-primary/10, text-primary, text-[10px]","Example: SAMSUNG_VN."
"Chi tiết đối tác","partner_status","label","[Status]","","None","Header/Left","false","","bg-emerald-50, text-emerald-600, text-[10px]",""
"Chi tiết đối tác","partner_name","title","[Name]","","None","Header/Left","false","","text-3xl, font-black",""
"Chi tiết đối tác","btn_promote","button","Tiến cấp...","","Trigger promoteMutation","Header/Right","false","","border-primary/20, bg-primary/5, text-primary",""
"Chi tiết đối tác","btn_send_email","button","Gửi email","","Trigger email client","Header/Right","false","","border-slate-200, bg-white, text-[11px]","Includes Mail icon."
"Chi tiết đối tác","btn_external_link","button","Mở hồ sơ","","Open external website","Header/Right","false","","bg-slate-950, text-white, text-[11px]","Includes ExternalLink icon."
"Chi tiết đối tác","metric_country","card","[Country]","","None","Summary Grid","false","","bg-white, text-slate-900","label: Quốc gia. Includes MapPin icon."
"Chi tiết đối tác","metric_sector","card","[Sector]","","None","Summary Grid","false","","bg-white, text-slate-900","label: Lĩnh vực. Includes Building2 icon."
"Chi tiết đối tác","metric_score","card","[Score] / 5","","None","Summary Grid","false","","bg-white, text-slate-900","label: Điểm đánh giá. Includes Star icon."
"Chi tiết đối tác","info_website","label","[Website URL]","","None","General Info","false","","bg-slate-50, text-sm",""
"Chi tiết đối tác","info_notes","label","[Notes]","","None","General Info","false","","bg-slate-50, text-sm, whitespace-pre-wrap",""
"Chi tiết đối tác","contact_card","container","[Full Name]","","None","Contact Section","false","","bg-slate-50, border-slate-100","Displays title, email, phone, and isPrimary badge."
"Chi tiết đối tác","recent_activity","container","Hoạt động gần đây","","None","Sidebar","false","","bg-slate-950, text-white","Displays type, summary, and date of interactions."
