"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Chi tiết Đoàn công tác","btn_back","button","","","Navigate back one page","Header/Top Left","false","","border-slate-200, bg-white, p-3","ArrowLeft icon"
"Chi tiết Đoàn công tác","badge_delegation_code","label","[Code]","","None","Header/Top Left","false","","bg-primary/10, text-primary, text-[10px]",""
"Chi tiết Đoàn công tác","label_date_range","label","[Start Date] - [End Date]","","None","Header/Top Left","false","","text-xs, font-bold, text-slate-400",""
"Chi tiết Đoàn công tác","page_title","title","[Delegation Name]","","None","Header/Top Left","false","","text-3xl, font-black, text-slate-900",""
"Chi tiết Đoàn công tác","btn_edit","button","CHỈNH SỬA HỒ SƠ","","Navigate to /delegations/:id/edit","Header/Top Right","false","","bg-slate-900, text-white, text-[11px]","Includes Edit icon"
"Chi tiết Đoàn công tác","tab_overview","tab","TỔNG QUAN","","Switch to overview tab","Sub-header","false","","text-[10px], border-b-2","Includes Info icon"
"Chi tiết Đoàn công tác","tab_members","tab","THÀNH VIÊN","","Switch to members tab","Sub-header","false","","text-[10px], border-b-2","Includes Users icon"
"Chi tiết Đoàn công tác","tab_schedule","tab","LỊCH TRÌNH","","Switch to schedule tab","Sub-header","false","","text-[10px], border-b-2","Includes Calendar icon"
"Chi tiết Đoàn công tác","tab_checklist","tab","CHECKLIST","","Switch to checklist tab","Sub-header","false","","text-[10px], border-b-2","Includes CheckSquare icon"
"Chi tiết Đoàn công tác","tab_followup","tab","THEO DÕI","","Switch to followup tab","Sub-header","false","","text-[10px], border-b-2","Includes FileText icon"
"Chi tiết Đoàn công tác","label_objective_title","title","Mục tiêu & Nội dung","","None","Main/Left (Overview)","false","","text-sm, font-black",""
"Chi tiết Đoàn công tác","text_description","text","[Description]","","None","Main/Left (Overview)","false","","text-sm, leading-relaxed",""
"Chi tiết Đoàn công tác","label_sectors_title","label","Lĩnh vực","","None","Main/Left (Overview)","false","","text-[10px], font-black",""
"Chi tiết Đoàn công tác","badge_sector","badge","[Sector Name]","","None","Main/Left (Overview)","false","","bg-slate-100, font-semibold",""
"Chi tiết Đoàn công tác","label_status_title","label","Trạng thái","","None","Main/Left (Overview) Bottom","false","","text-[10px], font-black",""
"Chi tiết Đoàn công tác","label_country_title","label","Quốc gia","","None","Main/Left (Overview) Bottom","false","","text-[10px], font-black",""
"Chi tiết Đoàn công tác","badge_country_val","badge","[Country Name]","","None","Main/Left (Overview) Bottom","false","","bg-slate-50, inline-flex","Includes CountryFlag"
"Chi tiết Đoàn công tác","label_host_title","label","Đơn vị chủ trì","","None","Main/Left (Overview) Bottom","false","","text-[10px], font-black",""
"Chi tiết Đoàn công tác","label_partner_title","label","Đối tác","","None","Main/Left (Overview) Bottom","false","","text-[10px], font-black",""
"Chi tiết Đoàn công tác","label_investment_title","label","Tiềm năng đầu tư","","None","Main/Left (Overview) Bottom","false","","text-[10px], font-black",""
"Chi tiết Đoàn công tác","label_investment_val","label","[Currency Value]","","None","Main/Left (Overview) Bottom","false","","text-emerald-600, font-bold","Format: vi-VN currency"
"Chi tiết Đoàn công tác","label_contact_title","title","Thông tin liên hệ","","None","Main/Left Contact Section","false","","text-sm, font-black",""
"Chi tiết Đoàn công tác","card_contact_item","card","[Contact Info]","","None","Main/Left Contact Section","false","","bg-slate-50/50, p-4","Shows name, role, phone, and email"
"Chi tiết Đoàn công tác","card_member_item","card","[Member Info]","","None","Main/Left (Members)","false","","bg-white, p-6, border-slate-200","Shows avatar, name, title, org, VIP badge if any."
"Chi tiết Đoàn công tác","badge_member_vip","badge","VIP","","None","Member Card","false","","bg-amber-50, text-amber-600",""
"Chi tiết Đoàn công tác","card_schedule_event","card","[Event Title]","","None","Main/Left (Schedule)","false","","bg-white, p-6, border-slate-200","Shows dates, location, PIC, and notes."
"Chi tiết Đoàn công tác","label_checklist_title","title","Checklist","","None","Main/Left (Checklist)","false","","text-sm, font-black",""
"Chi tiết Đoàn công tác","item_checklist_card","card","[Checklist Item]","","None","Main/Left (Checklist)","false","","bg-slate-50, p-4","Shows item name, status, assignee, and priority."
"Chi tiết Đoàn công tác","label_followup_title","title","Kết quả & Theo dõi","","None","Main/Left (Followup)","false","","text-sm, font-black",""
"Chi tiết Đoàn công tác","card_followup_outcome","card","[Outcome Summary]","","None","Main/Left (Followup)","false","","bg-slate-50, p-5","Shows rating, summary, and next steps."
"Chi tiết Đoàn công tác","badge_outcome_rating","label","★ [Score]/5","","None","Followup Card","false","","text-amber-400",""
"Chi tiết Đoàn công tác","label_staff_title","label","Cán bộ phụ trách","","None","Right Sidebar","false","","text-[10px], text-slate-500",""
"Chi tiết Đoàn công tác","card_staff_info","card","[Staff Info]","","None","Right Sidebar","false","","bg-slate-50, p-6","Shows avatar, name, and department."
"Chi tiết Đoàn công tác","state_loading","loading_spinner","Loading...","","Indicate loading","Center Screen","false","","flex h-64",""
"Chi tiết Đoàn công tác","state_error","alert","Không tải được chi tiết","","Navigate back","Center Screen (Error)","false","","bg-rose-50, text-rose-600","Shows retry 'Quay lại' button."
