"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Xúc tiến Đầu tư","page_title","title","Xúc tiến Đầu tư","","None","Header/Left","false","","text-2xl, font-black, tracking-tight",""
"Xúc tiến Đầu tư","page_description","label","Dành cho Chuyên viên: Theo dõi và cập nhật tiến độ các dự án đang phụ trách.","","None","Header/Left","false","","text-sm, font-medium, text-slate-500",""
"Xúc tiến Đầu tư","btn_create_project","button","TẠO DỰ ÁN","","Open create project dialog","Header/Right","false","","bg-primary, text-white, text-[10px]","Includes Plus icon"
"Xúc tiến Đầu tư","label_section_title","title","Dự án Pipeline","","None","Main Container Header","false","","text-lg, font-black","Includes Target icon"
"Xúc tiến Đầu tư","input_search_pipeline","input","","Tìm theo tên hoặc mã...","Filter projects by keyword","Main Container Header","false","","pl-9, h-9, text-xs","Includes Search icon"
"Xúc tiến Đầu tư","project_item_card","card","[Project Name]","","None","Main List Area","false","","bg-slate-50/30, p-4, border-slate-100","Hover: border-primary/20, bg-white, shadow-md"
"Xúc tiến Đầu tư","icon_project_dot","icon","","","None","Project Card/Left","false","","rounded-lg, shadow-sm, bg-white","CircleDot icon. Hover: text-primary."
"Xúc tiến Đầu tư","label_project_meta","label","[Country ID] | [Project Code]","","None","Project Card/Header","false","","text-[10px], font-black, uppercase",""
"Xúc tiến Đầu tư","link_linked_delegation","link","Đoàn liên kết","","Navigate to delegation detail","Project Card/Header","false","","text-[9px], font-black, uppercase, text-primary","Includes ExternalLink icon. Visible if delegation_id exists."
"Xúc tiến Đầu tư","label_estimated_value","badge","[Currency Value]","","None","Project Card/Body","false","","text-sm, font-black, text-slate-900","label: Giá trị"
"Xúc tiến Đầu tư","btn_project_stage","button","[Stage Label]","","Patch stage to next in sequence","Project Card/Body","false","","text-[9px], font-black, uppercase","Colored based on stage (emerald for won, rose for lost, blue for others)."
"Xúc tiến Đầu tư","progress_success_probability","progress","[N]%","","None","Project Card/Body","false","","h-1.5, w-16, bg-slate-100","label: Xác suất thành công. Green bar."
"Xúc tiến Đầu tư","btn_view_project","button","","","Open project detail modal","Project Card/Actions","false","","text-slate-400, hover:text-primary","Eye icon"
"Xúc tiến Đầu tư","btn_edit_project","button","","","Open edit project modal","Project Card/Actions","false","","text-slate-400, hover:text-amber-600","Edit icon"
"Xúc tiến Đầu tư","btn_delete_project","button","","","Open delete confirmation dialog","Project Card/Actions","false","","text-slate-400, hover:text-rose-600","Trash2 icon. (OnDelete prop is passed to SharedProjectList)"
"Xúc tiến Đầu tư","modal_title","title","Thêm dự án pipeline mới / Cập nhật dự án","","None","Dialog/Header","false","","text-xl, font-black, uppercase",""
"Xúc tiến Đầu tư","modal_form_container","container","","","None","Dialog/Body","false","","SharedProjectForm",""
"Xúc tiến Đầu tư","modal_detail_title","title","Chi tiết dự án","","None","Dialog/Header","false","","text-xl, font-black, uppercase, text-primary",""
"Xúc tiến Đầu tư","modal_detail_container","container","","","None","Dialog/Body","false","","SharedProjectDetail",""
"Xúc tiến Đầu tư","label_empty_state","label","Chưa có dự án pipeline khớp bộ lọc","","None","Main List Area","false","","text-sm, font-semibold, text-slate-400","Visible when list is empty."
