"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Trung tâm Thông báo","page_title","title","Trung tâm Thông báo","","None","Header/Left","false","","text-2xl, font-black, tracking-tight",""
"Trung tâm Thông báo","page_description","label","Cập nhật những thay đổi mới nhất về nhiệm vụ, lịch trình và hệ thống.","","None","Header/Left","false","","text-sm, font-semibold, text-slate-500",""
"Trung tâm Thông báo","btn_read_all","button","Đánh dấu đọc tất cả","","Trigger read all notifications","Header/Right","false","","border-slate-200, bg-white, text-slate-600","Includes Check icon"
"Trung tâm Thông báo","btn_delete_read","button","","","Confirm delete read notifications","Header/Right","false","","border-slate-200, bg-white, p-2.5","Trash2 icon. Hover: bg-slate-900, text-white."
"Trung tâm Thông báo","tab_all","tab","Tất cả","","Switch to all notifications","Tab Bar","false","","text-[10px], font-black",""
"Trung tâm Thông báo","tab_unread","tab","Chưa đọc","","Switch to unread notifications","Tab Bar","false","","text-[10px], font-black","Includes unread count badge."
"Trung tâm Thông báo","tab_assignment","tab","Nhiệm vụ","","Switch to assignment notifications","Tab Bar","false","","text-[10px], font-black",""
"Trung tâm Thông báo","tab_system","tab","Hệ thống","","Switch to system notifications","Tab Bar","false","","text-[10px], font-black",""
"Trung tâm Thông báo","notification_item_card","card","[Notification Title]","","Open notification detail","Notifications List","false","","border, p-5, transition-all","Logic: bg-white/shadow-md if Unread, bg-slate-50/opacity-80 if Read."
"Trung tâm Thông báo","border_unread_indicator","indicator","","","None","Notification Card/Left","false","","h-full, w-1, bg-primary","Visible only if Unread."
"Trung tâm Thông báo","icon_notification_type","icon","","","None","Notification Card/Left","false","","rounded, border, h-10, w-10","Icon type: MessageSquare (Assignment), CheckCircle2 (Approval), Calendar (Meeting), Bell (System)."
"Trung tâm Thông báo","label_notification_time","label","[Timestamp]","","None","Notification Card/Top Right","false","","text-[9px], font-black, text-slate-400",""
"Trung tâm Thông báo","btn_view_detail_link","button","Xem chi tiết","","Open notification detail dialog","Notification Card/Footer","false","","text-[9px], font-black, text-primary","Includes ChevronRight icon."
"Trung tâm Thông báo","btn_mark_read_link","button","Đánh dấu đã đọc","","Trigger read single notification","Notification Card/Footer","false","","text-[9px], font-black, text-slate-400","Visible only if Unread."
"Trung tâm Thông báo","btn_more_options","button","","","Open more options menu","Notification Card/Right","false","","text-slate-300","MoreVertical icon"
"Trung tâm Thông báo","btn_load_more","button","Xem các thông báo cũ hơn","","Increment visibleCount by 4","List Footer","false","","border-slate-200, bg-white, text-[10px]","Visible if notifications.length > visibleCount."
"Trung tâm Thông báo","modal_title","title","[Notification Title]","","None","Dialog/Header","false","","text-xl, font-black",""
"Trung tâm Thông báo","badge_modal_type","badge","[Type Label]","","None","Dialog/Body","false","","rounded-full, bg-slate-100, text-slate-600",""
"Trung tâm Thông báo","badge_modal_status","badge","Đã đọc / Chưa đọc","","None","Dialog/Body","false","","rounded-full, uppercase",""
"Trung tâm Thông báo","label_modal_description","label","[Full Description]","","None","Dialog/Body","false","","text-xs, font-semibold, whitespace-pre-line",""
"Trung tâm Thông báo","btn_modal_mark_read","button","Đánh dấu đã đọc","","Trigger read single notification","Dialog/Footer","false","","border-slate-200, bg-white, text-[10px]","Visible if Unread."
"Trung tâm Thông báo","btn_modal_close","button","Đóng","","Close dialog","Dialog/Footer","false","","bg-slate-900, text-white, text-[10px]",""
