"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Chi tiết đối tác","btn_back","button","","","Navigate back to partners list","Header/Left","false","","border-slate-200, bg-white, p-3","ArrowLeft icon"
"Chi tiết đối tác","badge_partner_code","badge","[Partner Code]","","None","Header/Left","false","","bg-primary/10, text-primary, text-[10px]",""
"Chi tiết đối tác","badge_partner_status","badge","[Status Label]","","None","Header/Left","false","","text-[10px], font-black, uppercase","Logic: emerald for Active (status 2), slate for others."
"Chi tiết đối tác","page_title","title","[Partner Name]","","None","Header/Left","false","","text-3xl, font-black, text-slate-900",""
"Chi tiết đối tác","page_description","label","Chi tiết hồ sơ đối tác, liên hệ và hoạt động gần đây.","","None","Header/Left","false","","text-sm, font-medium, text-slate-500",""
"Chi tiết đối tác","btn_promote_status","button","Tiến cấp [Next Status]","","Trigger partner status promotion","Header/Right","false","","border-primary/20, bg-primary/5, text-primary","Disabled if status is already at maximum."
"Chi tiết đối tác","btn_direct_email","button","Gửi email","","Trigger email contact action","Header/Right","false","","border-slate-200, bg-white, text-slate-600","Includes Mail icon"
"Chi tiết đối tác","btn_open_full_profile","button","Mở hồ sơ","","Trigger external profile view","Header/Right","false","","bg-slate-950, text-white","Includes ExternalLink icon"
"Chi tiết đối tác","metric_card_country","card","[Country Name]","","None","Metrics Bar","false","","bg-white, p-5, border-slate-200","label: Quốc gia. Includes MapPin icon."
"Chi tiết đối tác","metric_card_sector","card","[Sector Name]","","None","Metrics Bar","false","","bg-white, p-5, border-slate-200","label: Lĩnh vực. Includes Building2 icon."
"Chi tiết đối tác","metric_card_score","card","[Score] / 5","","None","Metrics Bar","false","","bg-white, p-5, border-slate-200","label: Điểm đánh giá. Includes Star icon."
"Chi tiết đối tác","section_overview","section","Thông tin tổng quan","","None","Main Content/Top","false","","rounded-2xl, border-slate-200, bg-white, p-6","Includes createdAt timestamp."
"Chi tiết đối tác","row_website","label","[Website Value]","","None","Overview Section","false","","bg-slate-50, p-4","label: Website"
"Chi tiết đối tác","row_partner_code","label","[Partner Code]","","None","Overview Section","false","","bg-slate-50, p-4","label: Mã đối tác"
"Chi tiết đối tác","row_country_detail","label","[Country]","","None","Overview Section","false","","bg-slate-50, p-4","label: Quốc gia"
"Chi tiết đối tác","row_sector_detail","label","[Sector]","","None","Overview Section","false","","bg-slate-50, p-4","label: Lĩnh vực"
"Chi tiết đối tác","panel_notes","label","[Notes Content]","","None","Overview Section","false","","bg-slate-50, p-4, whitespace-pre-wrap","label: Ghi chú"
"Chi tiết đối tác","section_contacts","section","Liên hệ","","None","Main Content/Bottom","false","","rounded-2xl, border-slate-200, bg-white, p-6",""
"Chi tiết đối tác","contact_item_card","card","[Contact Name]","","None","Contacts Section","false","","border-slate-100, bg-slate-50, p-4","Includes title, primary badge, email, and phone."
"Chi tiết đối tác","aside_interactions","aside","Hoạt động gần đây","","None","Sidebar","false","","bg-slate-950, text-white, p-6","Includes Clock3 icon."
"Chi tiết đối tác","interaction_item_card","card","[Summary]","","None","Interactions Sidebar","false","","border-white/10, bg-white/5, p-4","Includes type and timestamp."
"Chi tiết đối tác","aside_summary","aside","Tóm tắt","","None","Sidebar","false","","bg-white, p-6, border-slate-200","Includes status, contact count, and interaction count."
