"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Hồ sơ cá nhân","page_title","title","Hồ sơ cá nhân","","None","Header","false","","text-2xl, font-black, uppercase, tracking-tight",""
"Hồ sơ cá nhân","page_description","label","Quản lý thông tin tài khoản và đơn vị công tác.","","None","Header","false","","text-sm, font-medium, text-slate-500",""
"Hồ sơ cá nhân","profile_avatar","image","","","None","Sidebar Profile Card","false","","h-20, w-20, rounded-full, bg-slate-100","User icon inside."
"Hồ sơ cá nhân","label_full_name_static","label","[Full Name]","","None","Sidebar Profile Card","false","","text-sm, font-black, uppercase",""
"Hồ sơ cá nhân","badge_user_role","badge","[Role Label]","","None","Sidebar Profile Card","false","","text-[11px], font-black, uppercase, text-primary","Logic for role strings (Quản trị hệ thống, Trưởng phòng...)"
"Hồ sơ cá nhân","label_username","label","[Username]","","None","Sidebar Profile Card","false","","text-[11px], font-medium, text-slate-500",""
"Hồ sơ cá nhân","label_input_fullname","label","Họ và tên","","None","Profile Details Form","false","","text-[11px], font-black, uppercase, text-slate-500","Includes User icon."
"Hồ sơ cá nhân","input_fullname","input","","Enter full name","Edit user full name","Profile Details Form","false","","h-11, rounded-lg, border-slate-200",""
"Hồ sơ cá nhân","label_input_email","label","Email","","None","Profile Details Form","false","","text-[11px], font-black, uppercase, text-slate-500","Includes Mail icon."
"Hồ sơ cá nhân","input_email","input","","Enter email","Edit user email","Profile Details Form","false","","h-11, rounded-lg, border-slate-200",""
"Hồ sơ cá nhân","label_input_unit","label","Đơn vị","","None","Profile Details Form","false","","text-[11px], font-black, uppercase, text-slate-500","Includes Building2 icon."
"Hồ sơ cá nhân","input_unit","input","","Enter unit","Edit user unit","Profile Details Form","false","","h-11, rounded-lg, border-slate-200",""
"Hồ sơ cá nhân","badge_rbac_info","badge","Quyền hiện tại: [Role]","","None","Profile Details Form","false","","bg-blue-50, text-blue-700, text-[11px]","Includes ShieldCheck icon."
"Hồ sơ cá nhân","btn_save_profile","button","Lưu thay đổi","","Trigger profile update","Profile Details Form","false","","bg-primary, text-white, text-[11px]","Includes Save icon."
