"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Quản lý Biên bản","page_title","title","Quản lý Biên bản","","None","Header/Left","false","","text-2xl, font-black, tracking-tight",""
"Quản lý Biên bản","page_description","label","Lập biên bản làm việc, ký số và lưu trữ hồ sơ pháp lý của dự án.","","None","Header/Left","false","","text-sm, font-semibold, text-slate-500",""
"Quản lý Biên bản","btn_history","button","Lịch sử ký","","Toggle digital signature history panel","Header/Right","false","","border-slate-200, bg-white, text-slate-600","Includes History icon"
"Quản lý Biên bản","btn_create_minutes","button","Tạo biên bản mới","","Create a new draft minutes","Header/Right","false","","bg-primary, text-white, text-[11px]","Includes Plus icon"
"Quản lý Biên bản","template_card","card","Tạo biên bản từ mẫu chuyên nghiệp","","None","Main/Top","false","","bg-slate-900, text-white, p-6","Highlights standard templates. Includes PenTool icon."
"Quản lý Biên bản","btn_template_mou","button","BIÊN BẢN GHI NHỚ (MOU)","","Create minutes from MOU template","Template Card","false","","border-white/20, text-white/80, text-[9px]",""
"Quản lý Biên bản","btn_template_survey","button","BIÊN BẢN KHẢO SÁT","","Create minutes from Survey template","Template Card","false","","border-white/20, text-white/80, text-[9px]",""
"Quản lý Biên bản","btn_template_meeting","button","BIÊN BẢN HỌP ĐOÀN","","Create minutes from Meeting template","Template Card","false","","border-white/20, text-white/80, text-[9px]",""
"Quản lý Biên bản","history_panel","panel","Lịch sử ký số gần đây","","None","Main List Area Top","false","","bg-slate-50, border-slate-200, p-4","Visible only when showHistoryPanel is true"
"Quản lý Biên bản","input_search_minutes","input","","Tìm tên biên bản, đối tác...","Filter minutes by keyword","Main List Area Header","false","","bg-slate-50, p-2.5, text-[11px]","Includes Search icon and Clear button"
"Quản lý Biên bản","btn_clear_search","button","","","Clear search query","Search Input","false","","text-slate-400","X icon. Visible when searchQuery is not empty."
"Quản lý Biên bản","btn_filter_status","button","","","Toggle signed status filter","Main List Area Header","false","","bg-slate-50, text-slate-400","Filter icon"
"Quản lý Biên bản","minutes_item_card","card","[Minutes Title]","","None","Minutes List","false","","bg-slate-50/40, p-4, border-slate-100","Hover: border-primary/30, bg-white"
"Quản lý Biên bản","icon_status_file","icon","","","None","Minutes Item Card/Left","false","","rounded-lg, shadow-md","FileText icon. Colored based on status (emerald=Signed, amber=Pending, slate=Draft)."
"Quản lý Biên bản","badge_status_text","label","[Status Text]","","None","Minutes Item Card/Subtitle","false","","text-[9px], uppercase","Includes Clock/CheckCircle2 icon. Logic: Signed, Pending, Bản nháp."
"Quản lý Biên bản","label_metadata","label","Cập nhật: [Date] • [Author]","","None","Minutes Item Card/Subtitle","false","","text-[9px], font-bold, text-slate-400",""
"Quản lý Biên bản","btn_view_minutes","button","Xem","","Navigate to minutes detail page","Minutes Item Card/Actions","false","","border-slate-200, bg-white, text-[9px]","Includes Eye icon"
"Quản lý Biên bản","btn_download_original","button","Gốc","","Download original file","Minutes Item Card/Actions","false","","border-slate-200, bg-white, text-[9px]","Includes Download icon"
"Quản lý Biên bản","btn_quick_share","button","","","Share minutes link to partners","Minutes Item Card/Actions","false","","bg-primary/5, text-primary","Share2 icon"
"Quản lý Biên bản","btn_more_options","button","","","Open more options menu","Minutes Item Card/Actions","false","","text-slate-300","MoreVertical icon"
"Quản lý Biên bản","dropdown_item_toggle_status","menu_item","Đổi trạng thái","","Trigger status approval","More Options Menu","false","","",""
"Quản lý Biên bản","dropdown_item_duplicate","menu_item","Nhân bản","","Duplicate the minutes record","More Options Menu","false","","",""
"Quản lý Biên bản","label_pagination_info","label","Hiển thị [N]-[M] / [Total] biên bản","","None","Footer","false","","text-[9px], font-black, text-slate-400","Visible if totalPages > 1"
"Quản lý Biên bản","btn_pagination_page","button","[Page Number]","","Navigate to specific page","Footer","false","","h-7, w-7, text-[10px]","Active: bg-slate-950, text-white"
