"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Dashboard","page_title","title","Tin vắn nghiệp vụ, [User Name] 👋","","None","Header/Left","false","","text-3xl, font-black, tracking-tight","Welcome message changes based on role (Director, Manager, etc.)"
"Dashboard","sub_title","label","IPA ĐÀ NẴNG • THỨ 6, 10/04/2026","","None","Header/Left","false","","text-sm, font-semibold, opacity-70","Displays current unit and date"
"Dashboard","input_quick_search","input","","Tìm nhanh đoàn, tài liệu, đối tác...","Search global entities","Header/Right","false","","bg-white, rounded-lg, text-[11px]","Includes Search icon"
"Dashboard","btn_quick_report","button","BÁO CÁO NHANH","","Navigate to relevant reports/tasks","Header/Right","false","","bg-slate-950, text-white, text-[10px]","Includes Zap icon. Action depends on role."
"Dashboard","stat_card_delegations","card","Đoàn phụ trách","","Navigate to Delegations","Stats Grid","false","","text-blue-600, bg-white, rounded-xl","StatCard component. Shows delegation count."
"Dashboard","stat_card_tasks","card","Việc cần làm","","Navigate to Tasks","Stats Grid","false","","text-rose-600, bg-white, rounded-xl","StatCard component. Shows task count."
"Dashboard","stat_card_schedule","card","Lịch cá nhân","","Navigate to Schedule","Stats Grid","false","","text-amber-600, bg-white, rounded-xl","StatCard component. Shows event count."
"Dashboard","stat_card_documents","card","Tài liệu mới","","Navigate to Documents","Stats Grid","false","","text-emerald-600, bg-white, rounded-xl","StatCard component. Shows overdue/new document count."
"Dashboard","section_tasks_title","title","Đầu việc trọng tâm & Khẩn cấp","","None","Main/Left Section","false","","text-base, font-black","Includes CheckCircle2 icon"
"Dashboard","btn_view_all_tasks","button","XEM TẤT CẢ","","Navigate to /tasks","Main/Left Section Header","false","","text-[10px], font-black, text-primary",""
"Dashboard","task_item_card","card","[Task Title]","","None","Main/Left Section","false","","rounded-xl, border, p-4","Specific style for 'urgent' priority (bg-rose-50). Linked to delegation/user."
"Dashboard","task_priority_badge","badge","[Priority]","","None","Task Card/Right","false","","text-[8px], font-black, uppercase","Colored based on priority (urgent=bg-rose-500)"
"Dashboard","task_status_icon","icon","","","None","Task Card/Left","false","","border, shadow-sm","Clock icon"
"Dashboard","task_metadata_deadline","label","[Deadline]","","None","Task Card/Bottom","false","","text-[10px], font-bold","Includes Calendar icon"
"Dashboard","task_overdue_alert","label","!! QUÁ HẠN XỬ LÝ","","None","Task Card/Bottom","false","","text-[9px], text-rose-600","Visible only if overdue"
"Dashboard","highlight_card_delegation","card","Đoàn HQ Bán Dẫn","","Navigate to /delegations","Main/Left Section Bottom","false","","bg-slate-900, p-8","HighlightCard component. Shows progress bar."
"Dashboard","highlight_card_schedule","card","APAC ICT Summit","","Navigate to /schedule","Main/Left Section Bottom","false","","bg-primary, p-8","HighlightCard component. Displays event details."
"Dashboard","section_timeline_title","title","SỰ KIỆN TRONG NGÀY","","None","Main/Right Section","false","","text-xs, font-black","Includes Calendar icon"
"Dashboard","timeline_item","list_item","[Event Title]","","None","Timeline","false","","relative, pl-10","Includes status indicator and location/time."
"Dashboard","btn_view_weekly_schedule","button","XEM TOÀN BỘ LỊCH TUẦN","","Navigate to /schedule","Main/Right Section Bottom","false","","bg-slate-50, text-[10px], font-black",""
"Dashboard","notification_widget","widget","THÔNG BÁO MỚI","","Navigate to /notifications","Main/Right Section Bottom","false","","bg-slate-950, text-white, p-7","Includes Bell icon and summary text."
