"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Chi tiết Biên bản","btn_back","button","","","Navigate back","Header/Top Left","false","","p-2, text-slate-400, hover:bg-slate-50","ChevronLeft icon"
"Chi tiết Biên bản","badge_doc_status","label","Bản chính thức / Bản nháp","","None","Header/Top Left","false","","text-[10px], font-black, uppercase","Colored based on status (emerald for Signed, amber for other)"
"Chi tiết Biên bản","label_doc_version","label","Phiên bản [N] • Cập nhật [Timestamp]","","None","Header/Top Left","false","","text-[10px], font-bold, text-slate-400",""
"Chi tiết Biên bản","page_title","title","[Doc Title]","","None","Header/Top Left","false","","text-lg, font-black, text-slate-900",""
"Chi tiết Biên bản","btn_print","button","","","Open print mode","Header/Top Right","false","","p-2, text-slate-400","Printer icon"
"Chi tiết Biên bản","btn_download","button","","","Download document","Header/Top Right","false","","p-2, text-slate-400","Download icon"
"Chi tiết Biên bản","btn_create_version","button","Tạo phiên bản","","Create a new version record","Header/Top Right","false","","border-slate-200, text-slate-700","Includes History icon. Disabled if finalized."
"Chi tiết Biên bản","btn_approve_doc","button","Phê duyệt / Đã phê duyệt","","Approve the document","Header/Top Right","false","","bg-emerald-600, text-white","Includes CheckCircle2 icon. Logic depends on status."
"Chi tiết Biên bản","btn_share_doc","button","Chia sẻ","","Open share options","Header/Top Right","false","","border-slate-200, text-slate-700","Includes Share2 icon"
"Chi tiết Biên bản","btn_edit_doc","button","Chỉnh sửa / Đang chỉnh sửa","","Toggle edit mode","Header/Top Right","false","","bg-primary, text-white","Includes Edit3 icon"
"Chi tiết Biên bản","btn_more_options","button","","","Open more options menu","Header/Top Right","false","","text-slate-400","MoreVertical icon"
"Chi tiết Biên bản","label_content_header","title","Nội dung biên bản","","None","Main/Left Content Header","false","","text-sm, font-bold","Includes FileText icon"
"Chi tiết Biên bản","btn_fullscreen","button","","","Open fullscreen mode","Main/Left Content Header","false","","text-slate-300","Maximize2 icon"
"Chi tiết Biên bản","doc_content_area","container","[Document Content]","","None","Main/Left Content Area","false","","p-12, overflow-y-auto","Mockup document structure with HTML tags (h2, p, list)"
"Chi tiết Biên bản","tab_tasks","tab","Đầu việc","","Switch to tasks tab","Right Sidebar Tabs","false","","text-[10px], font-black","Includes CheckCircle2 icon"
"Chi tiết Biên bản","tab_comments","tab","Thảo luận","","Switch to comments tab","Right Sidebar Tabs","false","","text-[10px], font-black","Includes MessageSquare icon"
"Chi tiết Biên bản","tab_history","tab","Lịch sử","","Switch to history tab","Right Sidebar Tabs","false","","text-[10px], font-black","Includes History icon"
"Chi tiết Biên bản","btn_add_task","button","","","Add a new task row","Right Sidebar Header","false","","bg-primary, p-1.5, text-white","Plus icon. Only in tasks tab."
"Chi tiết Biên bản","task_item_row","card","[Task Title]","","None","Right Sidebar/Tasks","false","","bg-slate-50, border-slate-100, p-4","Shows title, status icon, deadline and assignee."
"Chi tiết Biên bản","input_comment","input","","Viết phản hồi...","Enter comment text","Right Sidebar/Comments Bottom","false","","bg-white, pb-3, pl-4, pr-12","Only in comments tab"
"Chi tiết Biên bản","btn_send_comment","button","","","Submit comment","Right Sidebar/Comments Bottom","false","","bg-primary, p-2, text-white","ArrowRight icon"
"Chi tiết Biên bản","version_history_card","card","Phiên bản [N]","","None","Right Sidebar/History","false","","bg-slate-50, p-4, border-slate-100","Shows summary, editor, and content preview."
"Chi tiết Biên bản","approval_history_card","card","Phê duyệt / Từ chối","","None","Right Sidebar/History","false","","bg-white, p-4, border-slate-100","Shows decision, note, and timestamp."
"Chi tiết Biên bản","attachment_item_row","card","[File Name]","","Download file","Right Sidebar/Attachments","false","","p-2, hover:bg-slate-50","Shows file type icon and download button."
"Chi tiết Biên bản","btn_upload_attachment","button","TẢI LÊN TÀI LIỆU","","Trigger file upload","Right Sidebar/Attachments","false","","border-2, dashed, text-slate-400","Includes Paperclip icon"
