"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Pipeline (Director)","page_title","title","Pipeline Xúc tiến Đầu tư","","None","Header/Left","false","","text-2xl, font-black, uppercase",""
"Pipeline (Director)","btn_create_project","button","Tạo dự án mới","","Open SharedProjectForm (Dialog)","Header/Right","false","","bg-primary, text-white, text-[10px]",""
"Pipeline (Director)","btn_export_pipeline","button","Xuất báo cáo","","Download pipeline data (shortcut)","Header/Right","false","","border-slate-200, text-slate-700, text-[10px]",""
"Pipeline (Director)","stat_total_projects","card","[N]","","None","Stats Grid","false","","text-blue-600, text-3xl, font-bold","label: Tổng dự án. Includes LayoutGrid icon."
"Pipeline (Director)","stat_active_projects","card","[N]","","None","Stats Grid","false","","text-emerald-600, text-3xl, font-bold","label: Đang mở. Includes TrendingUp icon."
"Pipeline (Director)","stat_closed_won","card","[N]","","None","Stats Grid","false","","text-amber-600, text-3xl, font-bold","label: Đã chốt. Includes Target icon."
"Pipeline (Director)","stat_average_success","card","[N]%","","None","Stats Grid","false","","text-purple-600, text-3xl, font-bold","label: Tỉ lệ thành công. Includes BarChart3 icon."
"Pipeline (Director)","pipeline_funnel_viz","component","Project Funnel Visualization","","None","Main","false","","SVG/Visual component","Displays project distribution across stages."
"Pipeline (Director)","section_priority_projects","title","Dự án trọng điểm","","None","List Header","false","","text-lg, font-black","Includes Target icon."
"Pipeline (Director)","input_search_projects","input","","Tìm dự án...","Filter project list by keyword","List Header","false","","h-9, text-xs",""
"Pipeline (Director)","filter_stage_pills","container","[Stage Labels]","","Filter project list by stage","List Header","false","","flex gap-2, text-[10px]","Dynamic pills for LEADS, CONTACTED, etc."
"Pipeline (Director)","project_list_table","table","[Project Dataset]","","None","Main/Left Column","false","","Shared container","Includes View/Edit/Delete/PatchStage actions per row."
"Pipeline (Director)","panel_capital_flow","container","Dòng vốn 2026","","None","Main/Right Column","false","","bg-brand-dark, text-white, rounded-2xl","Displays total value, active value, and KPI summaries (Dark Theme)."
"Pipeline (Director)","btn_finance_analysis","button","Xem phân tích tài chính sâu","","None (placeholder)","Right Panel","false","","bg-slate-950, text-white, text-[10px]",""
"Pipeline (Director)","panel_country_dist","container","Phân bổ quốc gia","","None","Main/Right Column","false","","bg-white, border-slate-200","Progress bars showing project distribution by country."
"Pipeline (Director)","panel_sector_dist","container","Phân bổ lĩnh vực","","None","Main/Left Column","false","","bg-white, border-slate-200","Progress bars showing project distribution by sector."
"Pipeline (Director)","modal_project_form","modal","[Edit/Create Form]","","Submit/Cancel form","Page Layer","false","","DialogContent","Shared form component."
"Pipeline (Director)","modal_project_detail","modal","Chi tiết dự án","","Close dialog","Page Layer","false","","DialogContent","Shared detail component."
