"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Chi tiết Biên bản","btn_back","button","","","Navigate back","Header/Left","false","","","Includes ChevronLeft icon."
"Chi tiết Biên bản","doc_status","label","[Status]","","None","Header/Left","false","","bg-emerald-50, text-emerald-600, text-[10px]",""
"Chi tiết Biên bản","doc_meta","label","Phiên bản [N] • Cập nhật [Time]","","None","Header/Left","false","","text-[10px], font-bold, text-slate-400",""
"Chi tiết Biên bản","doc_title","title","[Title]","","None","Header/Left","false","","text-lg, font-black",""
"Chi tiết Biên bản","btn_print","button","","","Trigger print action","Header/Right","false","","text-slate-400","Includes Printer icon."
"Chi tiết Biên bản","btn_download","button","","","Trigger download action","Header/Right","false","","text-slate-400","Includes Download icon."
"Chi tiết Biên bản","btn_create_version","button","Tạo phiên bản","","Trigger createVersionMutation","Header/Right","false","","border-slate-200, text-slate-700","Includes History icon."
"Chi tiết Biên bản","btn_approve","button","Phê duyệt","","Trigger approveMutation","Header/Right","false","","bg-emerald-600, text-white","Includes CheckCircle2 icon. Disabled if Signed."
"Chi tiết Biên bản","btn_share_doc","button","Chia sẻ","","Trigger share action","Header/Right","false","","border-slate-200, text-slate-700","Includes Share2 icon."
"Chi tiết Biên bản","btn_edit_doc","button","Chỉnh sửa","","Toggle edit mode","Header/Right","false","","bg-primary, text-white","Includes Edit3 icon."
"Chi tiết Biên bản","doc_content_viewer","container","[Document Content]","","None","Main Content/Left","false","","max-w-[800px], font-medium","Displays structured meeting minutes content."
"Chi tiết Biên bản","sidebar_tab_tasks","button","Đầu việc","","Switch to tasks sidebar tab","Sidebar Nav","false","","text-[10px], font-black","Includes CheckCircle2 icon."
"Chi tiết Biên bản","sidebar_tab_comments","button","Thảo luận","","Switch to comments sidebar tab","Sidebar Nav","false","","text-[10px], font-black","Includes MessageSquare icon."
"Chi tiết Biên bản","sidebar_tab_history","button","Lịch sử","","Switch to history sidebar tab","Sidebar Nav","false","","text-[10px], font-black","Includes History icon."
"Chi tiết Biên bản","btn_add_sidebar_task","button","","","Open add task dialog in sidebar","Sidebar Header","false","","bg-primary, text-white","Includes Plus icon."
"Chi tiết Biên bản","input_comment","input","","Viết phản hồi...","Send comment on Enter or Submit button click","Sidebar Footer","false","","bg-white, border-slate-200",""
"Chi tiết Biên bản","btn_send_comment","button","","","Trigger addCommentMutation","Sidebar Footer","false","","bg-primary, text-white","Includes ArrowRight icon."
"Chi tiết Biên bản","attachment_list","container","Tệp đính kèm ([N] files)","","None","Sidebar Bottom","false","","bg-white, shadow-xl","Lists downloadable files."
"Chi tiết Biên bản","btn_upload_attachment","button","TẢI LÊN TÀI LIỆU","","Trigger upload dialog","Sidebar Bottom","false","","border-2, dashed, text-slate-400","Includes Paperclip icon."
