"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Nhiệm vụ hệ thống","page_title","title","Nhiệm vụ hệ thống","","None","Header/Left","false","","text-2xl, font-black, uppercase",""
"Nhiệm vụ hệ thống","view_toggle_kanban","button","Bảng Kanban","","Switch to Kanban board view","Header/Right","false","","bg-white, text-primary",""
"Nhiệm vụ hệ thống","view_toggle_list","button","Danh sách","","Switch to List view","Header/Right","false","","text-slate-500",""
"Nhiệm vụ hệ thống","btn_add_task","button","Thêm việc mới","","Open Quick Create Modal","Header/Right","false","","bg-primary, text-white, text-[11px]","Includes Plus icon."
"Nhiệm vụ hệ thống","stat_total_tasks","card","[N]","","None","Stats Area","false","","bg-white, text-slate-900","label: TỔNG NHIỆM VỤ. Includes Clock icon."
"Nhiệm vụ hệ thống","stat_urgent_tasks","card","[N]","","None","Stats Area","false","","bg-rose-50, text-rose-600","label: KHẨN CẤP / QUÁ HẠN. Includes AlertCircle icon."
"Nhiệm vụ hệ thống","stat_in_progress","card","[N]","","None","Stats Area","false","","bg-amber-50, text-amber-600","label: ĐANG XỬ LÝ. Includes Zap icon."
"Nhiệm vụ hệ thống","stat_completed_tasks","card","[N]","","None","Stats Area","false","","bg-emerald-50, text-emerald-600","label: HOÀN THÀNH. Includes CheckCircle2 icon."
"Nhiệm vụ hệ thống","kanban_column_todo","container","Cần xử lý ([N])","","None","Kanban View","false","","bg-slate-50/20","Includes '+ Click để thêm việc mới' button."
"Nhiệm vụ hệ thống","kanban_column_progress","container","Đang thực hiện ([N])","","None","Kanban View","false","","bg-amber-100/20",""
"Nhiệm vụ hệ thống","kanban_column_done","container","Đã hoàn thành ([N])","","None","Kanban View","false","","bg-emerald-100/20",""
"Nhiệm vụ hệ thống","task_card","container","[Task Title]","","Toggle completion status on click","Kanban Column","false","","bg-white, border-slate-200","Displays priority, creator, comments/attachments count, and due date."
"Nhiệm vụ hệ thống","btn_task_options","button","","","Open task dropdown (Status, Delete)","Task Card","false","","text-slate-300","Includes MoreVertical icon."
"Nhiệm vụ hệ thống","list_item","container","[Task Title]","","None","List View","false","","border-slate-100, hover:bg-slate-50/50","Contains checkbox, title, creator, priority, and 'Chi tiết' button."
"Nhiệm vụ hệ thống","modal_quick_create","modal","Thêm nhiệm vụ mới","","Submit/Cancel task creation","Page Layer","false","","bg-white, shadow-2xl","Fields: Tiêu đề (autoFocus), Mức ưu tiên (Select), Hạn chót (Date)."
