"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Thư viện Tài liệu","page_title","title","Thư viện Tài liệu","","None","Header/Left","false","","text-2xl, font-black, tracking-tight",""
"Thư viện Tài liệu","page_description","label","Lưu trữ, quản lý và chia sẻ tài liệu nghiệp vụ tập trung.","","None","Header/Left","false","","text-sm, font-semibold, text-slate-500",""
"Thư viện Tài liệu","btn_create_folder","button","Tạo thư mục","","Create a new folder record","Header/Right","false","","border-slate-200, bg-white, text-slate-600","Includes FolderPlus icon"
"Thư viện Tài liệu","btn_upload_document","button","Tải tài liệu lên","","Trigger file upload","Header/Right","false","","bg-primary, text-white, text-[11px]","Includes Upload icon"
"Thư viện Tài liệu","folder_item_card","card","[Folder Name]","","Open folder view","Folders Grid","false","","bg-white, p-5, border-slate-200","Includes Folder icon and document count."
"Thư viện Tài liệu","label_active_folder","label","Đang xem thư mục: [Folder Name]","","None","Main Content Area/Top","false","","bg-primary/5, text-primary, text-[10px]","Visible when activeFolderId is set."
"Thư viện Tài liệu","input_search_document","input","","Tìm tài liệu...","Filter documents by keyword","Main List Area Header","false","","bg-slate-50, text-[11px], py-2.5","Includes Search icon"
"Thư viện Tài liệu","btn_view_mode_grid","button","","","Switch to grid view","Main List Area Header","false","","p-1.5","Grid icon. Active: bg-white, text-primary."
"Thư viện Tài liệu","btn_view_mode_list","button","","","Switch to list view","Main List Area Header","false","","p-1.5","List icon. Active: bg-white, text-primary."
"Thư viện Tài liệu","btn_filter_type","button","","","Toggle PDF status filter","Main List Area Header","false","","bg-slate-50, text-slate-400","Filter icon"
"Thư viện Tài liệu","doc_grid_item","card","[Doc Name]","","None","Documents Grid View","false","","bg-slate-50/20, p-4, border-slate-100","Hover: shadow-xl, border-primary/20"
"Thư viện Tài liệu","btn_doc_options_grid","button","","","Open document options menu","Doc Grid Item/Top Right","false","","text-slate-300","MoreVertical icon"
"Thư viện Tài liệu","icon_doc_type","icon","","","None","Doc Grid Item/Center","false","","rounded-xl, shadow-sm, bg-white","FileImage or FileText icon based on type."
"Thư viện Tài liệu","btn_quick_download","button","","","Download document","Doc Grid Item/Footer","false","","text-slate-400","Download icon"
"Thư viện Tài liệu","btn_quick_share","button","","","Open share file dialog","Doc Grid Item/Footer","false","","text-slate-400","Share2 icon"
"Thư viện Tài liệu","btn_quick_delete","button","","","Confirm file deletion","Doc Grid Item/Footer","false","","text-slate-400, hover:text-rose-600","Trash2 icon"
"Thư viện Tài liệu","doc_list_item","card","[Doc Name]","","None","Documents List View","false","","px-5, py-4, hover:bg-slate-50/80",""
"Thư viện Tài liệu","label_doc_meta_list","label","[Updated Date] • [Owner]","","None","Doc List Item/Right","false","","text-[9px], font-black, text-slate-400",""
"Thư viện Tài liệu","btn_doc_options_list","button","","","Open document options menu","Doc List Item/Right","false","","text-slate-300, shadow-sm","MoreVertical icon"
"Thư viện Tài liệu","dropdown_item_rename","menu_item","Đổi tên","","Trigger rename action","Document Options Menu","false","","",""
"Thư viện Tài liệu","dropdown_item_duplicate","menu_item","Nhân bản","","Duplicate document record","Document Options Menu","false","","",""
"Thư viện Tài liệu","dropdown_item_delete","menu_item","Xóa","","Trigger delete action","Document Options Menu","false","","",""
"Thư viện Tài liệu","label_storage_info","label","Dung lượng: [Used] / [Total]","","None","Footer","false","","text-[9px], font-black, text-slate-400",""
"Thư viện Tài liệu","label_display_count","label","[N] tài liệu hiển thị","","None","Footer","false","","text-[9px], font-black, text-slate-400",""
