"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Thiết lập Hồ sơ Đoàn","btn_back","button","","","Navigate back","Header/Top Left","false","","border-slate-200, bg-white, p-3","ArrowLeft icon"
"Thiết lập Hồ sơ Đoàn","page_title","title","Thiết lập Hồ sơ Đoàn / Cập nhật Hồ sơ Đoàn","","None","Header/Top Left","false","","text-2xl, font-black, text-slate-900",""
"Thiết lập Hồ sơ Đoàn","badge_draft_saved","label","ĐÃ LƯU BẢN NHÁP","","None","Header/Right","false","","bg-slate-100, text-slate-500, text-[10px]","Visible only when isDirty is true"
"Thiết lập Hồ sơ Đoàn","btn_save_draft","button","Lưu nháp","","Save with status 1","Header/Right","false","","border-slate-200, bg-white, text-slate-700","Available if not edit or status is 1. Includes Save icon."
"Thiết lập Hồ sơ Đoàn","btn_submit","button","Gửi phê duyệt / Lưu hồ sơ","","Save with status 2 or current status","Header/Right","true","","bg-primary, text-white","Includes Send or Save icon. Logic depends on role and edit mode."
"Thiết lập Hồ sơ Đoàn","tab_basic","tab","Thông tin chung","","Switch to basic info tab","Sub-header","false","","bg-slate-100, p-1","Includes Building2 icon"
"Thiết lập Hồ sơ Đoàn","tab_members","tab","Thành viên","","Switch to members tab","Sub-header","false","","bg-slate-100, p-1","Includes Users icon"
"Thiết lập Hồ sơ Đoàn","tab_schedule","tab","Lịch trình","","Switch to schedule tab","Sub-header","false","","bg-slate-100, p-1","Includes Calendar icon"
"Thiết lập Hồ sơ Đoàn","tab_checklist","tab","Checklist","","Switch to checklist tab","Sub-header","false","","bg-slate-100, p-1","Includes Send icon"
"Thiết lập Hồ sơ Đoàn","tab_followup","tab","Theo dõi","","Switch to followup tab","Sub-header","false","","bg-slate-100, p-1","Includes FileText icon. Only visible in edit mode."
"Thiết lập Hồ sơ Đoàn","input_name","input","Tên đoàn công tác *","","Enter delegation name","Main/Basic Info","true","Required","bg-slate-50, px-4, py-3",""
"Thiết lập Hồ sơ Đoàn","select_direction","select","Loại đoàn *","","Choose inbound/outbound","Main/Basic Info","true","Required","SelectField","Options: Inbound (Đoàn đến), Outbound (Đoàn đi)"
"Thiết lập Hồ sơ Đoàn","select_country","select","Quốc gia *","Chọn quốc gia...","Choose country","Main/Basic Info","true","Required","SelectField","Options from countries master data"
"Thiết lập Hồ sơ Đoàn","select_host_unit","select","Đơn vị chủ trì *","Chọn đơn vị...","Choose host unit","Main/Basic Info","true","Required","SelectField","Options from units data"
"Thiết lập Hồ sơ Đoàn","input_potential","input","Tiềm năng vốn (VND/USD)","Nhập số vốn dự kiến...","Enter investment potential","Main/Basic Info","false","Number","bg-slate-50, px-4, py-3",""
"Thiết lập Hồ sơ Đoàn","multi_select_sectors","multi_select","Lĩnh vực quan tâm","Tìm và chọn lĩnh vực...","Select sectors","Main/Basic Info","false","","MultiSelectField","Options from sector master data"
"Thiết lập Hồ sơ Đoàn","input_contact_name","input","Họ tên người liên hệ *","Ông/Bà...","Enter contact name","Main/Basic Info/Contact Section","true","Required","bg-white, px-4, py-2, text-sm",""
"Thiết lập Hồ sơ Đoàn","input_contact_job","input","Chức vụ","Giám đốc kinh doanh...","Enter contact job","Main/Basic Info/Contact Section","false","","bg-white, px-4, py-2, text-sm",""
"Thiết lập Hồ sơ Đoàn","input_contact_phone","input","Số điện thoại/Zalo/WhatsApp","+84...","Enter contact phone","Main/Basic Info/Contact Section","false","","bg-white, px-4, py-2, text-sm",""
"Thiết lập Hồ sơ Đoàn","input_contact_email","input","Email","example@gmail.com","Enter contact email","Main/Basic Info/Contact Section","false","Email format","bg-white, px-4, py-2, text-sm",""
"Thiết lập Hồ sơ Đoàn","multi_select_partners","multi_select","Đối tác (Chọn nhiều)","Tìm và chọn đối tác...","Select partners","Main/Basic Info","false","","MultiSelectField","Options from partners data"
"Thiết lập Hồ sơ Đoàn","date_picker_start","date_picker","Ngày bắt đầu *","","Select start date","Main/Basic Info","true","Required","DatePicker",""
"Thiết lập Hồ sơ Đoàn","date_picker_end","date_picker","Ngày kết thúc *","","Select end date","Main/Basic Info","true","Required","DatePicker","Must be >= start date"
"Thiết lập Hồ sơ Đoàn","textarea_objective","textarea","Mục tiêu","","Enter objectives","Main/Basic Info","false","","bg-slate-50, px-4, py-3","3 rows"
"Thiết lập Hồ sơ Đoàn","textarea_description","textarea","Nội dung","","Enter content","Main/Basic Info","false","","bg-slate-50, px-4, py-3","4 rows"
"Thiết lập Hồ sơ Đoàn","input_member_fullname","input","Họ tên *","Nguyễn Văn A","Enter new member name","Main/Members Section","true","Required","bg-white, px-4, py-2, text-sm",""
"Thiết lập Hồ sơ Đoàn","select_member_gender","select","Giới tính","Chọn...","Choose member gender","Main/Members Section","false","","SelectField","Options: Nam, Nữ, Khác"
"Thiết lập Hồ sơ Đoàn","input_member_role","input","Chức vụ","Giám đốc","Enter member role","Main/Members Section","false","","bg-white, px-4, py-2, text-sm",""
"Thiết lập Hồ sơ Đoàn","input_member_org","input","Tổ chức/Doanh nghiệp","Samsung Electronics","Enter member organization","Main/Members Section","false","","bg-white, px-4, py-2, text-sm",""
"Thiết lập Hồ sơ Đoàn","input_member_identity","input","CCCD/Passport","B1234567","Enter identity number","Main/Members Section","false","","bg-white, px-4, py-2, text-sm",""
"Thiết lập Hồ sơ Đoàn","checkbox_member_vip","checkbox","Thẻ VIP","","Toggle VIP status","Main/Members Section","false","","h-4, w-4, text-primary",""
"Thiết lập Hồ sơ Đoàn","btn_add_member","button","Thêm vào danh sách","","Add member to table","Main/Members Section","false","","bg-slate-900, text-white, py-3",""
"Thiết lập Hồ sơ Đoàn","table_members","table","","","None","Main/Members Section","false","","border-slate-200","Columns: Thành viên, Tổ chức, Định danh, VIP, Thao tác"
"Thiết lập Hồ sơ Đoàn","btn_delete_member","button","","","Remove member from list","Members Table","false","","text-slate-300, hover:text-rose-500","X icon"
"Thiết lập Hồ sơ Đoàn","date_picker_sched","date_picker","Ngày *","","Select schedule date","Main/Schedule Section","true","Required","DatePicker",""
"Thiết lập Hồ sơ Đoàn","input_sched_title","input","Nội dung chính *","Làm việc tại...","Enter schedule title","Main/Schedule Section","true","Required","bg-white, px-4, py-3, text-sm",""
"Thiết lập Hồ sơ Đoàn","textarea_sched_note","textarea","Ghi chú","Mô tả chi tiết nội dung làm việc...","Enter schedule notes","Main/Schedule Section","false","","bg-white, px-4, py-3, text-sm","3 rows"
"Thiết lập Hồ sơ Đoàn","select_sched_loc","select","Địa điểm","Chọn địa điểm...","Choose location","Main/Schedule Section","false","","SelectField","Options from location master data"
"Thiết lập Hồ sơ Đoàn","select_sched_staff","select","Cán bộ phụ trách","Chọn cán bộ...","Choose staff","Main/Schedule Section","false","","SelectField","Options from users list"
"Thiết lập Hồ sơ Đoàn","input_sched_logistics","input","Hậu cần (Xe, Driver...)","Xe 7 chỗ, Tài xế A...","Enter logistics notes","Main/Schedule Section","false","","bg-white, px-4, py-3, text-sm",""
"Thiết lập Hồ sơ Đoàn","btn_add_schedule","button","Thêm vào lịch trình","","Add schedule item to list","Main/Schedule Section","false","","bg-primary, text-white, py-3",""
"Thiết lập Hồ sơ Đoàn","btn_delete_schedule","button","","","Remove schedule item","Schedule List","false","","text-slate-300, hover:text-rose-500","X icon"
"Thiết lập Hồ sơ Đoàn","input_checklist_item","input","Checklist Item","","Add/Edit checklist item","Main/Checklist Section","false","","bg-slate-50, p-4",""
"Thiết lập Hồ sơ Đoàn","input_outcome_rating","rating","Đánh giá","","Set rating","Main/Followup Section","false","","★ icons","Score from 1 to 5"
"Thiết lập Hồ sơ Đoàn","textarea_outcome_summary","textarea","Kết quả đạt được","","Enter outcome summary","Main/Followup Section","false","","bg-slate-50",""
"Thiết lập Hồ sơ Đoàn","textarea_next_steps","textarea","Nhiệm vụ tiếp theo","","Enter next steps","Main/Followup Section","false","","bg-slate-50",""
