"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Tổng quan Thành phố","hero_section","container","Tổng quan xúc tiến đầu tư thành phố","","None","Header","false","","bg-slate-950, text-white","Gradient background. Includes MapPinned icon."
"Tổng quan Thành phố","btn_refresh_data","button","Tải dữ liệu","","Refetch summary and task queries","Hero Section","false","","bg-white, text-slate-950, text-[10px]","Includes RefreshCw icon."
"Tổng quan Thành phố","btn_view_reports","button","Xem báo cáo","","Navigate to City Reports (/reports/city)","Hero Section","false","","bg-white/5, border-white/15, text-white","Includes ArrowUpRight icon."
"Tổng quan Thành phố","stat_partners","card","[N]","","None","Hero Stats","false","","bg-white/10, text-white","label: Đối tác. Includes Users icon."
"Tổng quan Thành phố","stat_pipeline","card","[N]","","None","Hero Stats","false","","bg-white/10, text-white","label: Pipeline. Includes Briefcase icon."
"Tổng quan Thành phố","stat_delegations","card","[N]","","None","Hero Stats","false","","bg-white/10, text-white","label: Đoàn công tác. Includes ClipboardList icon."
"Tổng quan Thành phố","stat_events","card","[N]","","None","Hero Stats","false","","bg-white/10, text-white","label: Sự kiện tới. Includes CalendarDays icon."
"Tổng quan Thành phố","metric_total_pipeline","card","[Value]","","None","KPI Area","false","","bg-emerald-400/25, text-white","label: Tổng giá trị pipeline."
"Tổng quan Thành phố","metric_active_pipeline","card","[Value]","","None","KPI Area","false","","bg-cyan-400/25, text-white","label: Giá trị đang mở."
"Tổng quan Thành phố","pipeline_stages_chart","component","[N] dự án","","None","KPI Area","false","","bg-slate-950/40, text-white","Shows progress bars for each pipeline stage (Lead, Contacted, etc.)."
"Tổng quan Thành phố","snapshot_summary","label","[Strategic Text]","","None","Strategic Area","false","","text-sm, text-slate-600","Contextual analysis based on active share (>=70, >=40, <40)."
"Tổng quan Thành phố","btn_snapshot_reports","button","Mở báo cáo","","Navigate to City Reports","Strategic Area","false","","bg-slate-950, text-white, text-[10px]",""
"Tổng quan Thành phố","btn_snapshot_approvals","button","Xem phê duyệt","","Navigate to Approvals","Strategic Area","false","","bg-white, border-slate-200, text-[10px]",""
"Tổng quan Thành phố","insight_active_share","card","[N]%","","None","Insight Grid","false","","text-lg, font-black","label: Tỉ trọng pipeline mở."
"Tổng quan Thành phố","insight_bottleneck","card","[Stage Name]","","None","Insight Grid","false","","text-lg, font-black","label: Stage cần chú ý."
"Tổng quan Thành phố","insight_next_event","card","[Event Title]","","None","Insight Grid","false","","text-lg, font-black","label: Sự kiện gần nhất."
"Tổng quan Thành phố","insight_top_partner","card","[Partner Name]","","None","Insight Grid","false","","text-lg, font-black","label: Partner dẫn đầu."
"Tổng quan Thành phố","insight_urgent_tasks","card","[N]","","None","Insight Grid","false","","text-lg, font-black","label: Tác vụ cần ưu tiên."
"Tổng quan Thành phố","panel_pipeline_dist","container","Phân bổ pipeline","","None","Main Panels","false","","bg-white, border-slate-200","Includes stage breakdown bars with values."
"Tổng quan Thành phố","panel_events","container","Sự kiện sắp tới","","None","Main Panels","false","","bg-white, border-slate-200","List of upcoming meetings and surveys."
"Tổng quan Thành phố","panel_recent_projects","container","Dự án mới cập nhật","","None","Main Panels","false","","bg-white, border-slate-200","Table-like view of 5 most recent pipeline updates."
"Tổng quan Thành phố","panel_tasks","container","Đầu việc cần xử lý","","None","Main Panels","false","","bg-white, border-slate-200","Task feed with priority badges."
"Tổng quan Thành phố","panel_top_partners","container","Đối tác nổi bật","","None","Main Panels","false","","bg-white, border-slate-200","Ranked list of top partners by score."
"Tổng quan Thành phố","panel_city_highlights","container","Điểm nhấn thành phố","","None","Main Panels","false","","bg-white, border-slate-200","Grid of core city metrics (Projects, Partners, Delegations, Events)."
