"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Quản lý Biên bản","page_title","title","Quản lý Biên bản","","None","Header/Left","false","","text-2xl, font-black, uppercase",""
"Quản lý Biên bản","btn_history","button","Lịch sử ký","","Toggle history panel","Header/Right","false","","border-slate-200, bg-white","Includes History icon."
"Quản lý Biên bản","btn_create","button","Tạo biên bản mới","","Trigger createMinutesMutation","Header/Right","false","","bg-primary, text-white, text-[11px]","Includes Plus icon."
"Quản lý Biên bản","template_card","container","Tạo biên bản từ mẫu chuyên nghiệp","","None","Banner Section","false","","bg-slate-900, text-white","Includes MOU, Survey, Meeting templates."
"Quản lý Biên bản","input_search","input","","Tìm tên biên bản, đối tác...","Search with debounce","Filter Area","false","","bg-slate-50, text-[11px]","Includes Search icon and X clear button."
"Quản lý Biên bản","btn_filter","button","","","Toggle signed documents filter","Filter Area","false","","bg-slate-50, text-slate-400","Includes Filter icon."
"Quản lý Biên bản","minutes_card","container","[Minutes Title]","","None","Main List","false","","bg-slate-50/40, border-slate-100","Contains status badge, type, update date, and author."
"Quản lý Biên bản","btn_view","button","Xem","","Navigate to minutes/:id","Card Action","false","","border-slate-200, bg-white, text-[9px]","Includes Eye icon."
"Quản lý Biên bản","btn_download","button","Gốc","","Trigger download action","Card Action","false","","border-slate-200, bg-white, text-[9px]","Includes Download icon."
"Quản lý Biên bản","btn_share","button","","","Trigger share action","Card Action","false","","bg-primary/5, text-primary","Includes Share2 icon."
"Quản lý Biên bản","btn_more_options","button","","","Open dropdown (Status, Duplicate, Share)","Card Action","false","","text-slate-300","Includes MoreVertical icon."
"Quản lý Biên bản","pagination_control","container","Hiển thị [N-M] / [Total]","","Navigate between pages","Footer","false","","text-[9px], font-black",""
