"screen_name","component_id","component_type","text","placeholder","action","position","required","validation","style","notes"
"Hồ sơ Đoàn","btn_back","button","","","Navigate back","Header/Left","false","","","Includes ArrowLeft icon."
"Hồ sơ Đoàn","page_title","title","Hồ sơ Đoàn Công tác","","None","Header/Left","false","","text-2xl, font-black",""
"Hồ sơ Đoàn","input_name","input","Tên đoàn công tác","Nhập tên đoàn...","Input text","Form Section","true","min 5 chars","",""
"Hồ sơ Đoàn","input_code","input","Mã đoàn","Tự động tạo hoặc nhập mã...","Input text","Form Section","true","unique","",""
"Hồ sơ Đoàn","select_direction","select","Loại đoàn","[Inbound, Outbound]","Select direction","Form Section","true","","",""
"Hồ sơ Đoàn","select_country","select","Quốc gia","[Country List]","Select country","Form Section","true","","",""
"Hồ sơ Đoàn","select_type","select","Phân loại","[Type List]","Select type","Form Section","true","","",""
"Hồ sơ Đoàn","date_range","input","Thời gian công tác","[Start Date - End Date]","Select date range","Form Section","true","","",""
"Hồ sơ Đoàn","select_host_unit","select","Đơn vị chủ trì","[Unit List]","Select unit","Form Section","true","","",""
"Hồ sơ Đoàn","input_investment","input","Tiềm năng đầu tư","0","Input currency","Form Section","false","","","Formatted as VND."
"Hồ sơ Đoàn","textarea_description","textarea","Mục tiêu & Nội dung","Mô tả chi tiết mục tiêu chuyến công tác...","Input long text","Form Section","false","","",""
"Hồ sơ Đoàn","input_partners","input","Đối tác liên quan","[Partner Select]","Multi-select partners","Form Section","false","","",""
"Hồ sơ Đoàn","btn_submit","button","LƯU HỒ SƠ","","Submit form data","Footer/Right","false","","bg-slate-950, text-white",""
"Hồ sơ Đoàn","btn_cancel","button","HỦY BỎ","","Discard changes and exit","Footer/Right","false","","text-slate-400",""
